name,url,variant,regular_price,sale_price,scraped_at
ROSEMARY,https://justingredients.co.uk/products/rosemary?_pos=19&_sid=850c5f5b3&_ss=r,1kg,£13.69,£13.69,2025-07-27T18:55:36.662949
CHILLI CON CARNE SPICE BLEND,https://justingredients.co.uk/products/chilli-con-carne?_pos=20&_sid=850c5f5b3&_ss=r,100g,£3.39,£2.54,2025-07-27T18:55:40.416330
CHILLI CON CARNE SPICE BLEND,https://justingredients.co.uk/products/chilli-con-carne?_pos=20&_sid=850c5f5b3&_ss=r,250g,£6.57,£6.57,2025-07-27T18:55:40.440949
CHILLI CON CARNE SPICE BLEND,https://justingredients.co.uk/products/chilli-con-carne?_pos=20&_sid=850c5f5b3&_ss=r,500g,£11.59,£11.59,2025-07-27T18:55:40.471055
CHILLI CON CARNE SPICE BLEND,https://justingredients.co.uk/products/chilli-con-carne?_pos=20&_sid=850c5f5b3&_ss=r,1kg,£20.23,£20.23,2025-07-27T18:55:40.496589
BASIL,https://justingredients.co.uk/products/basil?_pos=21&_sid=850c5f5b3&_ss=r,100g,£4.15,£3.11,2025-07-27T18:55:44.104100
BASIL,https://justingredients.co.uk/products/basil?_pos=21&_sid=850c5f5b3&_ss=r,250g,£4.77,£4.77,2025-07-27T18:55:44.130312
BASIL,https://justingredients.co.uk/products/basil?_pos=21&_sid=850c5f5b3&_ss=r,500g,£8.06,£8.06,2025-07-27T18:55:44.163859
BASIL,https://justingredients.co.uk/products/basil?_pos=21&_sid=850c5f5b3&_ss=r,1kg,£13.47,£13.47,2025-07-27T18:55:44.190809
SAGE,https://justingredients.co.uk/products/sage?_pos=22&_sid=850c5f5b3&_ss=r,100g,£3.06,£2.30,2025-07-27T18:55:47.924170
SAGE,https://justingredients.co.uk/products/sage?_pos=22&_sid=850c5f5b3&_ss=r,250g,£4.27,£4.27,2025-07-27T18:55:47.951051
SAGE,https://justingredients.co.uk/products/sage?_pos=22&_sid=850c5f5b3&_ss=r,500g,£7.42,£7.42,2025-07-27T18:55:47.975739
SAGE,https://justingredients.co.uk/products/sage?_pos=22&_sid=850c5f5b3&_ss=r,1kg,£12.76,£12.76,2025-07-27T18:55:48.000430
OREGANO,https://justingredients.co.uk/products/oregano?_pos=23&_sid=850c5f5b3&_ss=r,100g,£3.60,£2.70,2025-07-27T18:55:51.229885
OREGANO,https://justingredients.co.uk/products/oregano?_pos=23&_sid=850c5f5b3&_ss=r,250g,£7.07,£7.07,2025-07-27T18:55:51.258241
OREGANO,https://justingredients.co.uk/products/oregano?_pos=23&_sid=850c5f5b3&_ss=r,500g,£12.51,£12.51,2025-07-27T18:55:51.286803
